MUNICIPIO,Ano,Codigo,Area,Nome,BACIA
Conceição do Coité,2010,2908408,69.187746,Afloramento Rochoso,Baixo
Ichu,2010,2913309,11.617872,Afloramento Rochoso,Baixo
Ipecaetá,2010,2913804,30.377,Afloramento Rochoso,Baixo
Ipirá,2010,2914000,1109.365965,Afloramento Rochoso,Baixo
Itatim,2010,2916856,29.238975,Afloramento Rochoso,Baixo
Pé de Serra,2010,2924058,94.730716,Afloramento Rochoso,Baixo
Rafael Jambeiro,2010,2925956,308.516152,Afloramento Rochoso,Baixo
Riachão do Jacuípe,2010,2926301,228.287584,Afloramento Rochoso,Baixo
Santa Bárbara,2010,2927507,2.361801,Afloramento Rochoso,Baixo
Santa Terezinha,2010,2928505,12.152688,Afloramento Rochoso,Baixo
Santo Estêvão,2010,2928802,37.68902,Afloramento Rochoso,Baixo
Serra Preta,2010,2930402,50.430541,Afloramento Rochoso,Baixo
Serrinha,2010,2930501,37.551399,Afloramento Rochoso,Baixo
Tanquinho,2010,2931103,8.571038,Afloramento Rochoso,Baixo
Barrocas,2022,2903276,3.502181,Afloramento Rochoso,Baixo
Candeal,2022,2906402,254.27758,Afloramento Rochoso,Baixo
Castro Alves,2022,2907301,0.357999,Afloramento Rochoso,Baixo
Conceição do Coité,2022,2908408,73.674121,Afloramento Rochoso,Baixo
Ichu,2022,2913309,54.83415,Afloramento Rochoso,Baixo
Ipecaetá,2022,2913804,22.093131,Afloramento Rochoso,Baixo
Ipirá,2022,2914000,3903.333392,Afloramento Rochoso,Baixo
Itatim,2022,2916856,840.697567,Afloramento Rochoso,Baixo
Pé de Serra,2022,2924058,1317.562719,Afloramento Rochoso,Baixo
Rafael Jambeiro,2022,2925956,1315.011962,Afloramento Rochoso,Baixo
Riachão do Jacuípe,2022,2926301,1025.968376,Afloramento Rochoso,Baixo
Santa Bárbara,2022,2927507,0.437374,Afloramento Rochoso,Baixo
Santa Terezinha,2022,2928505,70.798924,Afloramento Rochoso,Baixo
Santo Estêvão,2022,2928802,68.116839,Afloramento Rochoso,Baixo
Serra Preta,2022,2930402,568.198693,Afloramento Rochoso,Baixo
Serrinha,2022,2930501,47.168294,Afloramento Rochoso,Baixo
Tanquinho,2022,2931103,57.988068,Afloramento Rochoso,Baixo
Baixa Grande,2000,2902609,3.498668,Afloramento Rochoso,Médio
Boa Vista do Tupim,2000,2903805,388.135887,Afloramento Rochoso,Médio
Bonito,2000,2904050,34.524846,Afloramento Rochoso,Médio
Capela do Alto Alegre,2000,2906857,3.238906,Afloramento Rochoso,Médio
Gavião,2000,2911253,2.102133,Afloramento Rochoso,Médio
Iaçu,2000,2911907,359.208164,Afloramento Rochoso,Médio
Ibiquera,2000,2912608,57.237663,Afloramento Rochoso,Médio
Itaberaba,2000,2914703,122.321637,Afloramento Rochoso,Médio
Lajedinho,2000,2919009,45.200192,Afloramento Rochoso,Médio
Macajuba,2000,2919603,7.081862,Afloramento Rochoso,Médio
Mairi,2000,2920106,7.994794,Afloramento Rochoso,Médio
Maracás,2000,2920502,91.113394,Afloramento Rochoso,Médio
Marcionílio Souza,2000,2920809,137.0768,Afloramento Rochoso,Médio
Miguel Calmon,2000,2921203,41.854437,Afloramento Rochoso,Médio
Milagres,2000,2921302,38.386742,Afloramento Rochoso,Médio
Morro do Chapéu,2000,2921708,3977.604875,Afloramento Rochoso,Médio
Mundo Novo,2000,2922102,35.78615,Afloramento Rochoso,Médio
Nova Fátima,2000,2922730,2.889216,Afloramento Rochoso,Médio
Pintadas,2000,2924652,4.461981,Afloramento Rochoso,Médio
Piritiba,2000,2924801,347.816637,Afloramento Rochoso,Médio
Planaltino,2000,2924900,259.657423,Afloramento Rochoso,Médio
Quixabeira,2000,2925931,0.535688,Afloramento Rochoso,Médio
Retirolândia,2000,2926103,3.152722,Afloramento Rochoso,Médio
Ruy Barbosa,2000,2927200,75.590446,Afloramento Rochoso,Médio
Santaluz,2000,2928000,0.701077,Afloramento Rochoso,Médio
São Domingos,2000,2928950,3.679704,Afloramento Rochoso,Médio
São José do Jacuípe,2000,2929370,12.782732,Afloramento Rochoso,Médio
Serrolândia,2000,2930600,6.570279,Afloramento Rochoso,Médio
Tapiramutá,2000,2931301,203.570332,Afloramento Rochoso,Médio
Utinga,2000,2932804,42.099402,Afloramento Rochoso,Médio
Várzea da Roça,2000,2933059,6.481457,Afloramento Rochoso,Médio
Várzea do Poço,2000,2933109,3.450178,Afloramento Rochoso,Médio
Wagner,2000,2933406,28.926334,Afloramento Rochoso,Médio
Baixa Grande,2010,2902609,66.729922,Afloramento Rochoso,Médio
Boa Vista do Tupim,2010,2903805,371.629456,Afloramento Rochoso,Médio
Bonito,2010,2904050,51.784297,Afloramento Rochoso,Médio
Capela do Alto Alegre,2010,2906857,93.732346,Afloramento Rochoso,Médio
Gavião,2010,2911253,32.009111,Afloramento Rochoso,Médio
Iaçu,2010,2911907,392.950742,Afloramento Rochoso,Médio
Ibiquera,2010,2912608,32.190337,Afloramento Rochoso,Médio
Itaberaba,2010,2914703,263.532757,Afloramento Rochoso,Médio
Lajedinho,2010,2919009,137.566962,Afloramento Rochoso,Médio
Macajuba,2010,2919603,68.091795,Afloramento Rochoso,Médio
Mairi,2010,2920106,115.306536,Afloramento Rochoso,Médio
Maracás,2010,2920502,39.975826,Afloramento Rochoso,Médio
Marcionílio Souza,2010,2920809,44.005956,Afloramento Rochoso,Médio
Miguel Calmon,2010,2921203,40.279765,Afloramento Rochoso,Médio
Milagres,2010,2921302,43.821877,Afloramento Rochoso,Médio
Morro do Chapéu,2010,2921708,1812.445446,Afloramento Rochoso,Médio
Mundo Novo,2010,2922102,105.060979,Afloramento Rochoso,Médio
Nova Fátima,2010,2922730,47.015881,Afloramento Rochoso,Médio
Nova Itarana,2010,2922805,0.008543,Afloramento Rochoso,Médio
Pintadas,2010,2924652,124.196449,Afloramento Rochoso,Médio
Piritiba,2010,2924801,236.727036,Afloramento Rochoso,Médio
Planaltino,2010,2924900,33.025322,Afloramento Rochoso,Médio
Quixabeira,2010,2925931,5.257258,Afloramento Rochoso,Médio
Retirolândia,2010,2926103,32.765711,Afloramento Rochoso,Médio
Ruy Barbosa,2010,2927200,425.797183,Afloramento Rochoso,Médio
Santaluz,2010,2928000,27.167529,Afloramento Rochoso,Médio
São Domingos,2010,2928950,59.731323,Afloramento Rochoso,Médio
São José do Jacuípe,2010,2929370,29.175081,Afloramento Rochoso,Médio
Serrolândia,2010,2930600,1.226526,Afloramento Rochoso,Médio
Tapiramutá,2010,2931301,205.920624,Afloramento Rochoso,Médio
Utinga,2010,2932804,524.126689,Afloramento Rochoso,Médio
Valente,2010,2933000,13.930332,Afloramento Rochoso,Médio
Várzea da Roça,2010,2933059,91.953341,Afloramento Rochoso,Médio
Várzea do Poço,2010,2933109,34.074486,Afloramento Rochoso,Médio
Wagner,2010,2933406,52.36368,Afloramento Rochoso,Médio
Baixa Grande,2022,2902609,448.199638,Afloramento Rochoso,Médio
Boa Vista do Tupim,2022,2903805,459.567869,Afloramento Rochoso,Médio
Bonito,2022,2904050,132.661635,Afloramento Rochoso,Médio
Capela do Alto Alegre,2022,2906857,1077.443013,Afloramento Rochoso,Médio
Gavião,2022,2911253,385.423579,Afloramento Rochoso,Médio
Iaçu,2022,2911907,3738.979666,Afloramento Rochoso,Médio
Ibiquera,2022,2912608,8.765209,Afloramento Rochoso,Médio
Itaberaba,2022,2914703,834.124342,Afloramento Rochoso,Médio
Lajedinho,2022,2919009,74.718933,Afloramento Rochoso,Médio
Macajuba,2022,2919603,178.842977,Afloramento Rochoso,Médio
Mairi,2022,2920106,362.263191,Afloramento Rochoso,Médio
Maracás,2022,2920502,105.44335,Afloramento Rochoso,Médio
Marcionílio Souza,2022,2920809,165.674946,Afloramento Rochoso,Médio
Miguel Calmon,2022,2921203,41.306849,Afloramento Rochoso,Médio
Milagres,2022,2921302,271.547022,Afloramento Rochoso,Médio
Morro do Chapéu,2022,2921708,3533.330387,Afloramento Rochoso,Médio
Mundo Novo,2022,2922102,15.752995,Afloramento Rochoso,Médio
Nova Fátima,2022,2922730,712.476324,Afloramento Rochoso,Médio
Nova Itarana,2022,2922805,16.206278,Afloramento Rochoso,Médio
Pintadas,2022,2924652,643.583447,Afloramento Rochoso,Médio
Piritiba,2022,2924801,37.377351,Afloramento Rochoso,Médio
Planaltino,2022,2924900,132.008716,Afloramento Rochoso,Médio
Quixabeira,2022,2925931,19.623815,Afloramento Rochoso,Médio
Retirolândia,2022,2926103,99.934662,Afloramento Rochoso,Médio
Ruy Barbosa,2022,2927200,132.979505,Afloramento Rochoso,Médio
Santaluz,2022,2928000,219.920296,Afloramento Rochoso,Médio
São Domingos,2022,2928950,367.487266,Afloramento Rochoso,Médio
São José do Jacuípe,2022,2929370,654.680105,Afloramento Rochoso,Médio
Serrolândia,2022,2930600,1.75218,Afloramento Rochoso,Médio
Tapiramutá,2022,2931301,23.472504,Afloramento Rochoso,Médio
Utinga,2022,2932804,17.765897,Afloramento Rochoso,Médio
Valente,2022,2933000,56.304125,Afloramento Rochoso,Médio
Várzea da Roça,2022,2933059,841.182266,Afloramento Rochoso,Médio
Várzea do Poço,2022,2933109,40.836963,Afloramento Rochoso,Médio
Wagner,2022,2933406,9.360083,Afloramento Rochoso,Médio
Cachoeira,2000,2904902,21.196016,Apicum,Baixo
Maragogipe,2000,2920601,76.699013,Apicum,Baixo
Saubara,2000,2929750,9.928009,Apicum,Baixo
Cachoeira,2010,2904902,27.453227,Apicum,Baixo
Maragogipe,2010,2920601,92.561361,Apicum,Baixo
Saubara,2010,2929750,17.576226,Apicum,Baixo
Cachoeira,2022,2904902,27.64824,Apicum,Baixo
Maragogipe,2022,2920601,82.364008,Apicum,Baixo
Saubara,2022,2929750,12.368321,Apicum,Baixo
Andaraí,2000,2901304,156.288079,Área Urbanizada,Alto
Boninal,2000,2904001,224.32679,Área Urbanizada,Alto
Ibicoara,2000,2912202,178.206403,Área Urbanizada,Alto
Iramaia,2000,2914307,58.371286,Área Urbanizada,Alto
Iraquara,2000,2914406,120.163235,Área Urbanizada,Alto
Itaetê,2000,2915007,236.443592,Área Urbanizada,Alto
Lençóis,2000,2919306,61.52464,Área Urbanizada,Alto
Mucugê,2000,2921906,49.386346,Área Urbanizada,Alto
Mulungu do Morro,2000,2922052,98.21545,Área Urbanizada,Alto
Nova Redenção,2000,2922854,77.666962,Área Urbanizada,Alto
Palmeiras,2000,2923506,161.653712,Área Urbanizada,Alto
Piatã,2000,2924306,23.496591,Área Urbanizada,Alto
Seabra,2000,2929909,783.465849,Área Urbanizada,Alto
Souto Soares,2000,2930808,176.831653,Área Urbanizada,Alto
Andaraí,2010,2901304,177.941345,Área Urbanizada,Alto
Boninal,2010,2904001,237.173178,Área Urbanizada,Alto
Ibicoara,2010,2912202,258.194553,Área Urbanizada,Alto
Iramaia,2010,2914307,63.644559,Área Urbanizada,Alto
Iraquara,2010,2914406,159.287937,Área Urbanizada,Alto
Itaetê,2010,2915007,246.068084,Área Urbanizada,Alto
Lençóis,2010,2919306,104.172085,Área Urbanizada,Alto
Mucugê,2010,2921906,80.617303,Área Urbanizada,Alto
Mulungu do Morro,2010,2922052,115.472028,Área Urbanizada,Alto
Nova Redenção,2010,2922854,85.870124,Área Urbanizada,Alto
Palmeiras,2010,2923506,174.768019,Área Urbanizada,Alto
Piatã,2010,2924306,27.689401,Área Urbanizada,Alto
Seabra,2010,2929909,890.901123,Área Urbanizada,Alto
Souto Soares,2010,2930808,197.676767,Área Urbanizada,Alto
Andaraí,2022,2901304,199.593307,Área Urbanizada,Alto
Boninal,2022,2904001,270.732672,Área Urbanizada,Alto
Ibicoara,2022,2912202,291.30821,Área Urbanizada,Alto
Iramaia,2022,2914307,66.51865,Área Urbanizada,Alto
Iraquara,2022,2914406,183.269204,Área Urbanizada,Alto
Itaetê,2022,2915007,283.21268,Área Urbanizada,Alto
Lençóis,2022,2919306,120.863936,Área Urbanizada,Alto
Mucugê,2022,2921906,88.207352,Área Urbanizada,Alto
Mulungu do Morro,2022,2922052,142.457103,Área Urbanizada,Alto
Nova Redenção,2022,2922854,96.952912,Área Urbanizada,Alto
Palmeiras,2022,2923506,189.281281,Área Urbanizada,Alto
Piatã,2022,2924306,31.008662,Área Urbanizada,Alto
Seabra,2022,2929909,976.724269,Área Urbanizada,Alto
Souto Soares,2022,2930808,207.135091,Área Urbanizada,Alto
Anguera,2000,2901502,42.378323,Área Urbanizada,Baixo
Antônio Cardoso,2000,2901700,75.684848,Área Urbanizada,Baixo
Barrocas,2000,2903276,31.082839,Área Urbanizada,Baixo
Cabaceiras do Paraguaçu,2000,2904852,591.878089,Área Urbanizada,Baixo
Cachoeira,2000,2904902,301.493183,Área Urbanizada,Baixo
Candeal,2000,2906402,67.010491,Área Urbanizada,Baixo
Castro Alves,2000,2907301,20.892391,Área Urbanizada,Baixo
Conceição da Feira,2000,2908200,143.268082,Área Urbanizada,Baixo
Conceição do Coité,2000,2908408,185.138979,Área Urbanizada,Baixo
Cruz das Almas,2000,2909802,939.965663,Área Urbanizada,Baixo
Feira de Santana,2000,2910800,3005.729071,Área Urbanizada,Baixo
Governador Mangabeira,2000,2911600,218.039247,Área Urbanizada,Baixo
Ichu,2000,2913309,56.527832,Área Urbanizada,Baixo
Ipecaetá,2000,2913804,81.911443,Área Urbanizada,Baixo
Ipirá,2000,2914000,457.068892,Área Urbanizada,Baixo
Itatim,2000,2916856,535.363587,Área Urbanizada,Baixo
Maragogipe,2000,2920601,347.270883,Área Urbanizada,Baixo
Muritiba,2000,2922300,640.341076,Área Urbanizada,Baixo
Pé de Serra,2000,2924058,180.389941,Área Urbanizada,Baixo
Rafael Jambeiro,2000,2925956,147.326138,Área Urbanizada,Baixo
Riachão do Jacuípe,2000,2926301,495.672274,Área Urbanizada,Baixo
Santa Bárbara,2000,2927507,2.054305,Área Urbanizada,Baixo
Santa Terezinha,2000,2928505,58.413313,Área Urbanizada,Baixo
Santo Estêvão,2000,2928802,805.639684,Área Urbanizada,Baixo
São Félix,2000,2929008,88.521876,Área Urbanizada,Baixo
São Gonçalo dos Campos,2000,2929305,460.818476,Área Urbanizada,Baixo
Sapeaçu,2000,2929602,3.575709,Área Urbanizada,Baixo
Serra Preta,2000,2930402,117.8001,Área Urbanizada,Baixo
Serrinha,2000,2930501,151.185618,Área Urbanizada,Baixo
Tanquinho,2000,2931103,56.614544,Área Urbanizada,Baixo
Anguera,2010,2901502,50.591777,Área Urbanizada,Baixo
Antônio Cardoso,2010,2901700,91.047651,Área Urbanizada,Baixo
Barrocas,2010,2903276,36.423908,Área Urbanizada,Baixo
Cabaceiras do Paraguaçu,2010,2904852,680.340457,Área Urbanizada,Baixo
Cachoeira,2010,2904902,354.766873,Área Urbanizada,Baixo
Candeal,2010,2906402,76.721067,Área Urbanizada,Baixo
Castro Alves,2010,2907301,24.172023,Área Urbanizada,Baixo
Conceição da Feira,2010,2908200,158.01743,Área Urbanizada,Baixo
Conceição do Coité,2010,2908408,255.592503,Área Urbanizada,Baixo
Cruz das Almas,2010,2909802,1164.101083,Área Urbanizada,Baixo
Feira de Santana,2010,2910800,3319.917524,Área Urbanizada,Baixo
Governador Mangabeira,2010,2911600,290.046138,Área Urbanizada,Baixo
Ichu,2010,2913309,84.529598,Área Urbanizada,Baixo
Ipecaetá,2010,2913804,101.735433,Área Urbanizada,Baixo
Ipirá,2010,2914000,607.334503,Área Urbanizada,Baixo
Itatim,2010,2916856,622.222478,Área Urbanizada,Baixo
Maragogipe,2010,2920601,367.056118,Área Urbanizada,Baixo
Muritiba,2010,2922300,772.703332,Área Urbanizada,Baixo
Pé de Serra,2010,2924058,217.306939,Área Urbanizada,Baixo
Rafael Jambeiro,2010,2925956,201.007088,Área Urbanizada,Baixo
Riachão do Jacuípe,2010,2926301,609.518222,Área Urbanizada,Baixo
Santa Bárbara,2010,2927507,3.818952,Área Urbanizada,Baixo
Santa Terezinha,2010,2928505,64.341814,Área Urbanizada,Baixo
Santo Estêvão,2010,2928802,1026.03448,Área Urbanizada,Baixo
São Félix,2010,2929008,94.453319,Área Urbanizada,Baixo
São Gonçalo dos Campos,2010,2929305,484.042484,Área Urbanizada,Baixo
Sapeaçu,2010,2929602,9.418926,Área Urbanizada,Baixo
Serra Preta,2010,2930402,167.051025,Área Urbanizada,Baixo
Serrinha,2010,2930501,209.812321,Área Urbanizada,Baixo
Tanquinho,2010,2931103,93.934294,Área Urbanizada,Baixo
Anguera,2022,2901502,76.892361,Área Urbanizada,Baixo
Antônio Cardoso,2022,2901700,94.713974,Área Urbanizada,Baixo
Barrocas,2022,2903276,40.801714,Área Urbanizada,Baixo
Cabaceiras do Paraguaçu,2022,2904852,687.930645,Área Urbanizada,Baixo
Cachoeira,2022,2904902,377.073573,Área Urbanizada,Baixo
Candeal,2022,2906402,93.605429,Área Urbanizada,Baixo
Castro Alves,2022,2907301,31.388716,Área Urbanizada,Baixo
Conceição da Feira,2022,2908200,167.033414,Área Urbanizada,Baixo
Conceição do Coité,2022,2908408,301.925669,Área Urbanizada,Baixo
Cruz das Almas,2022,2909802,1268.4027,Área Urbanizada,Baixo
Feira de Santana,2022,2910800,3471.838869,Área Urbanizada,Baixo
Governador Mangabeira,2022,2911600,321.511868,Área Urbanizada,Baixo
Ichu,2022,2913309,99.055435,Área Urbanizada,Baixo
Ipecaetá,2022,2913804,126.186756,Área Urbanizada,Baixo
Ipirá,2022,2914000,726.743844,Área Urbanizada,Baixo
Itatim,2022,2916856,664.954339,Área Urbanizada,Baixo
Maragogipe,2022,2920601,538.300932,Área Urbanizada,Baixo
Muritiba,2022,2922300,830.120156,Área Urbanizada,Baixo
Pé de Serra,2022,2924058,236.466086,Área Urbanizada,Baixo
Rafael Jambeiro,2022,2925956,286.795263,Área Urbanizada,Baixo
Riachão do Jacuípe,2022,2926301,748.380931,Área Urbanizada,Baixo
Santa Bárbara,2022,2927507,5.857038,Área Urbanizada,Baixo
Santa Terezinha,2022,2928505,90.670736,Área Urbanizada,Baixo
Santo Estêvão,2022,2928802,1164.991269,Área Urbanizada,Baixo
São Félix,2022,2929008,95.513184,Área Urbanizada,Baixo
São Gonçalo dos Campos,2022,2929305,500.240894,Área Urbanizada,Baixo
Sapeaçu,2022,2929602,9.593351,Área Urbanizada,Baixo
Serra Preta,2022,2930402,184.58609,Área Urbanizada,Baixo
Serrinha,2022,2930501,301.375889,Área Urbanizada,Baixo
Tanquinho,2022,2931103,123.986242,Área Urbanizada,Baixo
Baixa Grande,2000,2902609,120.452488,Área Urbanizada,Médio
Boa Vista do Tupim,2000,2903805,189.992052,Área Urbanizada,Médio
Bonito,2000,2904050,71.191438,Área Urbanizada,Médio
Capela do Alto Alegre,2000,2906857,134.723238,Área Urbanizada,Médio
Gavião,2000,2911253,70.535322,Área Urbanizada,Médio
Iaçu,2000,2911907,635.326221,Área Urbanizada,Médio
Ibiquera,2000,2912608,61.029042,Área Urbanizada,Médio
Itaberaba,2000,2914703,809.178182,Área Urbanizada,Médio
Lajedinho,2000,2919009,48.512648,Área Urbanizada,Médio
Macajuba,2000,2919603,93.544247,Área Urbanizada,Médio
Mairi,2000,2920106,124.940346,Área Urbanizada,Médio
Marcionílio Souza,2000,2920809,213.955202,Área Urbanizada,Médio
Miguel Calmon,2000,2921203,9.222244,Área Urbanizada,Médio
Milagres,2000,2921302,215.807207,Área Urbanizada,Médio
Morro do Chapéu,2000,2921708,581.117381,Área Urbanizada,Médio
Mundo Novo,2000,2922102,110.64111,Área Urbanizada,Médio
Nova Fátima,2000,2922730,125.731117,Área Urbanizada,Médio
Pintadas,2000,2924652,62.653169,Área Urbanizada,Médio
Piritiba,2000,2924801,254.055713,Área Urbanizada,Médio
Quixabeira,2000,2925931,31.980163,Área Urbanizada,Médio
Retirolândia,2000,2926103,250.140676,Área Urbanizada,Médio
Ruy Barbosa,2000,2927200,361.733764,Área Urbanizada,Médio
Santaluz,2000,2928000,12.534289,Área Urbanizada,Médio
São Domingos,2000,2928950,140.158452,Área Urbanizada,Médio
São José do Jacuípe,2000,2929370,206.577341,Área Urbanizada,Médio
Serrolândia,2000,2930600,16.208677,Área Urbanizada,Médio
Tapiramutá,2000,2931301,82.301828,Área Urbanizada,Médio
Utinga,2000,2932804,257.546793,Área Urbanizada,Médio
Valente,2000,2933000,342.128428,Área Urbanizada,Médio
Várzea da Roça,2000,2933059,103.79251,Área Urbanizada,Médio
Várzea do Poço,2000,2933109,20.847596,Área Urbanizada,Médio
Wagner,2000,2933406,142.113901,Área Urbanizada,Médio
Baixa Grande,2010,2902609,163.926628,Área Urbanizada,Médio
Boa Vista do Tupim,2010,2903805,236.263743,Área Urbanizada,Médio
Bonito,2010,2904050,95.534811,Área Urbanizada,Médio
Capela do Alto Alegre,2010,2906857,156.433394,Área Urbanizada,Médio
Gavião,2010,2911253,75.800002,Área Urbanizada,Médio
Iaçu,2010,2911907,699.42486,Área Urbanizada,Médio
Ibiquera,2010,2912608,71.331611,Área Urbanizada,Médio
Itaberaba,2010,2914703,980.288578,Área Urbanizada,Médio
Lajedinho,2010,2919009,56.729128,Área Urbanizada,Médio
Macajuba,2010,2919603,126.678419,Área Urbanizada,Médio
Mairi,2010,2920106,149.456382,Área Urbanizada,Médio
Marcionílio Souza,2010,2920809,232.408138,Área Urbanizada,Médio
Miguel Calmon,2010,2921203,12.03932,Área Urbanizada,Médio
Milagres,2010,2921302,239.950833,Área Urbanizada,Médio
Morro do Chapéu,2010,2921708,656.495466,Área Urbanizada,Médio
Mundo Novo,2010,2922102,150.80751,Área Urbanizada,Médio
Nova Fátima,2010,2922730,149.634203,Área Urbanizada,Médio
Pintadas,2010,2924652,94.15456,Área Urbanizada,Médio
Piritiba,2010,2924801,276.824738,Área Urbanizada,Médio
Quixabeira,2010,2925931,34.521051,Área Urbanizada,Médio
Retirolândia,2010,2926103,279.520952,Área Urbanizada,Médio
Ruy Barbosa,2010,2927200,429.759936,Área Urbanizada,Médio
Santaluz,2010,2928000,19.108231,Área Urbanizada,Médio
São Domingos,2010,2928950,162.233279,Área Urbanizada,Médio
São José do Jacuípe,2010,2929370,216.255823,Área Urbanizada,Médio
Serrolândia,2010,2930600,16.296294,Área Urbanizada,Médio
Tapiramutá,2010,2931301,144.465851,Área Urbanizada,Médio
Utinga,2010,2932804,279.337172,Área Urbanizada,Médio
Valente,2010,2933000,398.111878,Área Urbanizada,Médio
Várzea da Roça,2010,2933059,136.409999,Área Urbanizada,Médio
Várzea do Poço,2010,2933109,30.815239,Área Urbanizada,Médio
Wagner,2010,2933406,182.25622,Área Urbanizada,Médio
Baixa Grande,2022,2902609,189.993625,Área Urbanizada,Médio
Boa Vista do Tupim,2022,2903805,291.323444,Área Urbanizada,Médio
Bonito,2022,2904050,137.128953,Área Urbanizada,Médio
Capela do Alto Alegre,2022,2906857,184.009996,Área Urbanizada,Médio
Gavião,2022,2911253,91.033863,Área Urbanizada,Médio
Iaçu,2022,2911907,750.176946,Área Urbanizada,Médio
Ibiquera,2022,2912608,76.744836,Área Urbanizada,Médio
Itaberaba,2022,2914703,1352.189741,Área Urbanizada,Médio
Lajedinho,2022,2919009,70.800764,Área Urbanizada,Médio
Macajuba,2022,2919603,157.364342,Área Urbanizada,Médio
Mairi,2022,2920106,192.880757,Área Urbanizada,Médio
Marcionílio Souza,2022,2920809,270.208641,Área Urbanizada,Médio
Miguel Calmon,2022,2921203,12.827956,Área Urbanizada,Médio
